Timestamp,Pair,Open,High,Low,Close,Volume
2025-08-03 00:00:00,ETHUSDT,3412.43,3427.97,3388.73,3410.78,13987.9211
2025-08-03 01:00:00,ETHUSDT,3410.79,3418.81,3368.29,3393.94,20262.7028
2025-08-03 02:00:00,ETHUSDT,3393.94,3412.59,3354.28,3409.72,31890.6431
2025-08-03 03:00:00,ETHUSDT,3409.71,3423.25,3401.77,3413.59,14951.519
2025-08-03 04:00:00,ETHUSDT,3413.58,3446.01,3413.08,3444.14,13983.4333
2025-08-03 05:00:00,ETHUSDT,3444.14,3452.29,3439.56,3444.12,9389.1998
2025-08-03 06:00:00,ETHUSDT,3444.13,3448.13,3433.98,3444.31,7531.6346
2025-08-03 07:00:00,ETHUSDT,3444.3,3456.0,3441.04,3444.74,8443.3784
2025-08-03 08:00:00,ETHUSDT,3444.74,3448.09,3437.12,3440.37,6130.9974
2025-08-03 09:00:00,ETHUSDT,3440.38,3459.62,3440.38,3456.25,11019.7632
2025-08-03 10:00:00,ETHUSDT,3456.24,3469.23,3454.11,3462.64,11996.686
2025-08-03 11:00:00,ETHUSDT,3462.65,3467.16,3455.09,3466.26,7063.0766
2025-08-03 12:00:00,ETHUSDT,3466.26,3488.0,3465.21,3484.94,14780.1949
2025-08-03 13:00:00,ETHUSDT,3484.94,3516.31,3484.5,3485.46,24185.4187
2025-08-03 14:00:00,ETHUSDT,3485.45,3504.27,3475.63,3489.66,13322.4888
2025-08-03 15:00:00,ETHUSDT,3489.67,3499.16,3483.98,3492.15,8257.0432
2025-08-03 16:00:00,ETHUSDT,3492.15,3494.44,3463.91,3472.08,15904.9333
2025-08-03 17:00:00,ETHUSDT,3472.08,3479.02,3454.34,3476.49,13775.3339
2025-08-03 18:00:00,ETHUSDT,3476.49,3496.68,3467.85,3495.03,13016.2107
2025-08-03 19:00:00,ETHUSDT,3495.03,3499.66,3480.1,3489.81,8693.7508
2025-08-03 20:00:00,ETHUSDT,3489.82,3498.0,3481.54,3496.47,7343.8967
2025-08-03 21:00:00,ETHUSDT,3496.48,3515.0,3488.73,3496.74,17761.4273
2025-08-03 22:00:00,ETHUSDT,3496.75,3497.93,3484.0,3492.63,7579.8708
2025-08-03 23:00:00,ETHUSDT,3492.64,3508.71,3489.14,3502.44,8030.1638
2025-08-04 00:00:00,ETHUSDT,3502.44,3515.49,3483.5,3503.41,8560.7602
2025-08-03 00:00:00,SOLUSDT,158.87,159.81,157.72,159.06,107093.428
2025-08-03 01:00:00,SOLUSDT,159.05,159.3,157.04,158.48,120866.769
2025-08-03 02:00:00,SOLUSDT,158.49,159.79,156.28,159.68,147595.64
2025-08-03 03:00:00,SOLUSDT,159.67,160.25,159.14,159.56,85761.238
2025-08-03 04:00:00,SOLUSDT,159.55,160.75,159.52,160.57,60821.532
2025-08-03 05:00:00,SOLUSDT,160.57,161.07,160.4,160.86,49920.628
2025-08-03 06:00:00,SOLUSDT,160.86,160.93,160.03,160.43,55444.107
2025-08-03 07:00:00,SOLUSDT,160.43,160.94,160.15,160.34,46265.589
2025-08-03 08:00:00,SOLUSDT,160.34,160.79,160.03,160.56,44866.264
2025-08-03 09:00:00,SOLUSDT,160.56,161.59,160.55,161.37,78699.177
2025-08-03 10:00:00,SOLUSDT,161.37,161.77,160.84,161.4,81259.144
2025-08-03 11:00:00,SOLUSDT,161.39,161.51,160.68,161.17,38424.173
2025-08-03 12:00:00,SOLUSDT,161.17,161.81,161.13,161.63,49590.106
2025-08-03 13:00:00,SOLUSDT,161.64,162.9,161.4,161.47,116878.886
2025-08-03 14:00:00,SOLUSDT,161.47,162.25,160.9,161.81,66291.099
2025-08-03 15:00:00,SOLUSDT,161.81,162.35,160.64,161.34,64206.353
2025-08-03 16:00:00,SOLUSDT,161.34,161.61,160.37,161.34,118740.905
2025-08-03 17:00:00,SOLUSDT,161.34,162.29,160.78,162.11,127277.154
2025-08-03 18:00:00,SOLUSDT,162.1,162.34,161.12,162.19,107521.562
2025-08-03 19:00:00,SOLUSDT,162.19,162.75,161.74,162.16,113534.449
2025-08-03 20:00:00,SOLUSDT,162.16,162.25,161.3,161.97,166818.088
2025-08-03 21:00:00,SOLUSDT,161.97,162.67,161.39,161.65,147876.79
2025-08-03 22:00:00,SOLUSDT,161.64,161.78,160.75,161.47,118137.104
2025-08-03 23:00:00,SOLUSDT,161.47,162.2,161.25,162.04,99634.367
2025-08-04 00:00:00,SOLUSDT,162.03,162.44,160.94,161.91,159888.409
